
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-08-15 10:59:25 /api/v1/auth/logout ...................................................................... ~ 1s
  2026-08-15 10:59:27 /api/v1/auth/login ....................................................................... ~ 1s
  2026-08-15 10:59:29 /api/v1/notifications/stream ....................................................... ~ 505.79ms
  2026-08-15 10:59:29 /api/v1/notifications/unread-count ....................................................... ~ 1s
  2026-08-15 10:59:29 /api/v1/reviewer/purchase-requests ....................................................... ~ 1s
  2026-08-15 10:59:30 /api/v1/reviewer/purchase-requests ................................................. ~ 505.23ms
  2026-08-15 10:59:31 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 10:59:31 /api/v1/notifications/unread-count ....................................................... ~ 1s
  2026-08-15 10:59:32 /api/v1/reviewer/purchase-requests ....................................................... ~ 1s
  2026-08-15 10:59:32 /api/v1/notifications/unread-count ....................................................... ~ 1s
  2026-08-15 10:59:33 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 10:59:34 /api/v1/reviewer/purchase-requests ....................................................... ~ 1s
  2026-08-15 10:59:35 /api/v1/notifications/unread-count ....................................................... ~ 1s
  2026-08-15 10:59:35 /api/v1/reviewer/purchase-requests/1 ..................................................... ~ 1s
  2026-08-15 10:59:36 /api/v1/reviewer/purchase-requests/1 ..................................................... ~ 1s
  2026-08-15 10:59:36 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 10:59:37 /api/v1/reviewer/purchase-requests/1 ..................................................... ~ 1s
  2026-08-15 10:59:38 /api/v1/reviewer/purchase-requests ................................................. ~ 514.51ms
  2026-08-15 10:59:38 /api/v1/reviewer/purchase-requests/1 ..................................................... ~ 1s
  2026-08-15 10:59:38 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 10:59:39 /api/v1/reviewer/purchase-requests ....................................................... ~ 1s
  2026-08-15 10:59:40 /api/v1/reviewer/purchase-requests/1 ............................................... ~ 515.18ms
  2026-08-15 10:59:41 /api/v1/notifications/stream ....................................................... ~ 509.24ms
  2026-08-15 10:59:41 /api/v1/reviewer/purchase-requests/1 ..................................................... ~ 1s
  2026-08-15 10:59:42 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 10:59:44 /api/v1/notifications/stream ....................................................... ~ 500.88ms
  2026-08-15 10:59:46 /api/v1/notifications/stream ....................................................... ~ 504.54ms
  2026-08-15 10:59:47 /api/v1/reviewer/purchase-requests/1/review ........................................ ~ 514.52ms
  2026-08-15 10:59:48 /api/v1/notifications/stream ....................................................... ~ 514.70ms
  2026-08-15 10:59:48 /api/v1/reviewer/purchase-requests/1/review .............................................. ~ 1s
  2026-08-15 10:59:49 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 10:59:51 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 10:59:53 /api/v1/notifications/stream ....................................................... ~ 509.79ms
  2026-08-15 10:59:55 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 10:59:57 /api/v1/notifications/stream ....................................................... ~ 502.36ms
  2026-08-15 10:59:59 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 11:00:00 /api/v1/notifications/stream ....................................................... ~ 502.31ms
  2026-08-15 11:00:02 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 11:00:04 /api/v1/notifications/stream ......................................................... ~ 0.21ms
  2026-08-15 11:00:05 /api/v1/notifications/stream ....................................................... ~ 503.83ms
  2026-08-15 11:00:07 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 11:00:09 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 11:00:10 /api/v1/notifications/stream ....................................................... ~ 504.16ms
  2026-08-15 11:00:12 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 11:00:14 /api/v1/notifications/stream ......................................................... ~ 0.17ms
  2026-08-15 11:00:15 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 11:00:18 /api/v1/notifications/stream ......................................................... ~ 0.17ms
  2026-08-15 11:00:20 /api/v1/notifications/stream ......................................................... ~ 0.20ms
  2026-08-15 11:00:22 /api/v1/notifications/stream ......................................................... ~ 0.16ms
  2026-08-15 11:00:24 /api/v1/notifications/stream ......................................................... ~ 0.31ms
  2026-08-15 11:00:26 /api/v1/notifications/stream ......................................................... ~ 0.25ms
  2026-08-15 11:00:28 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 11:00:31 /api/v1/notifications/stream ....................................................... ~ 501.73ms
  2026-08-15 11:00:33 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 11:00:35 /api/v1/notifications/stream ....................................................... ~ 505.85ms
  2026-08-15 11:00:36 /api/v1/auth/logout ................................................................ ~ 509.75ms
  2026-08-15 11:00:38 /api/v1/auth/login ....................................................................... ~ 1s
  2026-08-15 11:00:39 /api/v1/notifications/stream ....................................................... ~ 503.32ms
  2026-08-15 11:00:40 /api/v1/notifications/unread-count ....................................................... ~ 1s
  2026-08-15 11:00:40 /api/v1/purchase-requests ................................................................ ~ 1s
  2026-08-15 11:00:41 /api/v1/notifications/stream ....................................................... ~ 502.53ms
  2026-08-15 11:00:41 /api/v1/notifications/unread-count ....................................................... ~ 1s
  2026-08-15 11:00:42 /api/v1/catalog-items .................................................................... ~ 1s
  2026-08-15 11:00:43 /api/v1/purchase-requests/reviewer-options ............................................... ~ 1s
  2026-08-15 11:00:43 /api/v1/purchase-requests ................................................................ ~ 1s
  2026-08-15 11:00:44 /api/v1/notifications/unread-count ....................................................... ~ 1s
  2026-08-15 11:00:45 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 11:00:45 /api/v1/catalog-items .................................................................... ~ 1s
  2026-08-15 11:00:45 /api/v1/purchase-requests/reviewer-options ......................................... ~ 505.99ms
  2026-08-15 11:00:46 /api/v1/notifications/unread-count ................................................. ~ 510.06ms
  2026-08-15 11:00:47 /api/v1/notifications/stream ....................................................... ~ 513.11ms
  2026-08-15 11:00:49 /api/v1/notifications/stream ....................................................... ~ 513.43ms
  2026-08-15 11:00:51 /api/v1/notifications/stream ......................................................... ~ 0.16ms
  2026-08-15 11:00:53 /api/v1/notifications/stream ....................................................... ~ 509.77ms
  2026-08-15 11:00:55 /api/v1/notifications/stream ....................................................... ~ 510.96ms
  2026-08-15 11:00:56 /api/v1/notifications/stream ....................................................... ~ 511.58ms
  2026-08-15 11:00:58 /api/v1/notifications/stream ....................................................... ~ 502.72ms
  2026-08-15 11:01:00 /api/v1/notifications/stream ....................................................... ~ 505.99ms
  2026-08-15 11:01:02 /api/v1/notifications/stream ....................................................... ~ 510.48ms
  2026-08-15 11:01:04 /api/v1/notifications/stream ....................................................... ~ 503.30ms
  2026-08-15 11:01:06 /api/v1/notifications/stream ....................................................... ~ 515.82ms
  2026-08-15 11:01:08 /api/v1/notifications/stream ....................................................... ~ 504.84ms
  2026-08-15 11:01:10 /api/v1/notifications/stream ....................................................... ~ 514.25ms
  2026-08-15 11:01:12 /api/v1/notifications/stream ....................................................... ~ 506.12ms
  2026-08-15 11:01:14 /api/v1/notifications/stream ......................................................... ~ 0.12ms
  2026-08-15 11:01:16 /api/v1/notifications/stream ....................................................... ~ 515.61ms
  2026-08-15 11:01:18 /api/v1/notifications/stream ....................................................... ~ 500.63ms
  2026-08-15 11:01:20 /api/v1/notifications/stream ......................................................... ~ 0.09ms
  2026-08-15 11:01:22 /api/v1/notifications/stream ......................................................... ~ 0.26ms
  2026-08-15 11:01:24 /api/v1/notifications/stream ......................................................... ~ 0.27ms
  2026-08-15 11:01:26 /api/v1/notifications/stream ....................................................... ~ 508.84ms
  2026-08-15 11:01:28 /api/v1/notifications/stream ....................................................... ~ 507.66ms
  2026-08-15 11:01:30 /api/v1/notifications/stream ....................................................... ~ 500.99ms
  2026-08-15 11:01:32 /api/v1/notifications/stream ....................................................... ~ 509.49ms
  2026-08-15 11:01:34 /api/v1/notifications/stream ....................................................... ~ 505.76ms
  2026-08-15 11:01:36 /api/v1/notifications/stream ....................................................... ~ 511.12ms
  2026-08-15 11:01:38 /api/v1/notifications/stream ....................................................... ~ 508.36ms
  2026-08-15 11:01:40 /api/v1/notifications/stream ....................................................... ~ 501.93ms
  2026-08-15 11:01:42 /api/v1/notifications/stream ....................................................... ~ 502.21ms
  2026-08-15 11:01:44 /api/v1/notifications/stream ....................................................... ~ 505.49ms
  2026-08-15 11:01:46 /api/v1/notifications/stream ....................................................... ~ 503.74ms
  2026-08-15 11:01:48 /api/v1/notifications/stream ......................................................... ~ 0.11ms
  2026-08-15 11:01:50 /api/v1/notifications/stream ......................................................... ~ 0.16ms
  2026-08-15 11:01:52 /api/v1/notifications/stream ......................................................... ~ 0.24ms
  2026-08-15 11:01:54 /api/v1/notifications/stream ......................................................... ~ 0.17ms
  2026-08-15 11:01:56 /api/v1/notifications/stream ......................................................... ~ 0.24ms
  2026-08-15 11:01:58 /api/v1/notifications/stream ......................................................... ~ 0.27ms
  2026-08-15 11:02:00 /api/v1/notifications/stream ....................................................... ~ 515.70ms
  2026-08-15 11:02:02 /api/v1/notifications/stream ....................................................... ~ 504.27ms
  2026-08-15 11:02:04 /api/v1/notifications/stream ....................................................... ~ 514.59ms
  2026-08-15 11:02:06 /api/v1/notifications/stream ....................................................... ~ 507.25ms
  2026-08-15 11:02:08 /api/v1/notifications/stream ....................................................... ~ 508.49ms
  2026-08-15 11:02:10 /api/v1/notifications/stream ....................................................... ~ 509.70ms
  2026-08-15 11:02:12 /api/v1/notifications/stream ....................................................... ~ 500.84ms
  2026-08-15 11:02:14 /api/v1/notifications/stream ....................................................... ~ 513.57ms
  2026-08-15 11:02:16 /api/v1/notifications/stream ....................................................... ~ 516.43ms
  2026-08-15 11:02:18 /api/v1/notifications/stream ....................................................... ~ 501.00ms
  2026-08-15 11:02:20 /api/v1/notifications/stream ......................................................... ~ 0.16ms
  2026-08-15 11:02:22 /api/v1/notifications/stream ......................................................... ~ 0.25ms
  2026-08-15 11:02:24 /api/v1/notifications/stream ......................................................... ~ 0.26ms
  2026-08-15 11:02:26 /api/v1/notifications/stream ......................................................... ~ 0.29ms
  2026-08-15 11:02:28 /api/v1/notifications/stream ......................................................... ~ 0.28ms
  2026-08-15 11:02:30 /api/v1/notifications/stream ....................................................... ~ 513.01ms
  2026-08-15 11:02:32 /api/v1/notifications/stream ....................................................... ~ 504.51ms
  2026-08-15 11:02:34 /api/v1/notifications/stream ....................................................... ~ 506.47ms
  2026-08-15 11:02:36 /api/v1/notifications/stream ....................................................... ~ 514.54ms
  2026-08-15 11:02:38 /api/v1/notifications/stream ....................................................... ~ 502.07ms
  2026-08-15 11:02:40 /api/v1/notifications/stream ....................................................... ~ 502.89ms
  2026-08-15 11:02:42 /api/v1/notifications/stream ....................................................... ~ 513.54ms
  2026-08-15 11:02:44 /api/v1/notifications/stream ....................................................... ~ 508.28ms
  2026-08-15 11:02:46 /api/v1/notifications/stream ......................................................... ~ 0.11ms
  2026-08-15 11:02:48 /api/v1/notifications/stream ......................................................... ~ 0.14ms
  2026-08-15 11:02:50 /api/v1/notifications/stream ......................................................... ~ 0.18ms
  2026-08-15 11:02:52 /api/v1/notifications/stream ......................................................... ~ 0.19ms
  2026-08-15 11:02:54 /api/v1/notifications/stream ......................................................... ~ 0.21ms
  2026-08-15 11:02:56 /api/v1/notifications/stream ......................................................... ~ 0.09ms
  2026-08-15 11:02:58 /api/v1/notifications/stream ......................................................... ~ 0.13ms
  2026-08-15 11:03:00 /api/v1/notifications/stream ....................................................... ~ 506.10ms
