
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-08-15 14:02:42 /api/v1/notifications/stream ....................................................... ~ 507.14ms
  2026-08-15 14:02:43 /api/v1/notifications/stream ......................................................... ~ 0.13ms
  2026-08-15 14:02:44 /api/v1/notifications/stream ....................................................... ~ 504.05ms
  2026-08-15 14:02:46 /api/v1/notifications/stream ....................................................... ~ 508.50ms
  2026-08-15 14:02:47 /api/v1/notifications/stream ......................................................... ~ 0.24ms
  2026-08-15 14:02:49 /api/v1/notifications/stream ......................................................... ~ 0.09ms
  2026-08-15 14:02:50 /api/v1/notifications/stream ....................................................... ~ 511.96ms
  2026-08-15 14:02:51 /api/v1/notifications/stream ......................................................... ~ 0.21ms
  2026-08-15 14:02:52 /api/v1/notifications/stream ......................................................... ~ 0.07ms
  2026-08-15 14:02:53 /api/v1/notifications/stream ....................................................... ~ 502.92ms
  2026-08-15 14:02:55 /api/v1/notifications/stream ......................................................... ~ 0.45ms
  2026-08-15 14:02:56 /api/v1/notifications/stream ....................................................... ~ 514.20ms
  2026-08-15 14:02:57 /api/v1/notifications/stream ......................................................... ~ 0.36ms
  2026-08-15 14:02:58 /api/v1/notifications/stream ......................................................... ~ 0.10ms
  2026-08-15 14:02:59 /api/v1/notifications/stream ....................................................... ~ 500.25ms
  2026-08-15 14:03:01 /api/v1/notifications/stream ......................................................... ~ 0.10ms
  2026-08-15 14:03:02 /api/v1/notifications/stream ......................................................... ~ 0.07ms
  2026-08-15 14:03:03 /api/v1/notifications/stream ....................................................... ~ 502.90ms
  2026-08-15 14:03:04 /api/v1/notifications/stream ......................................................... ~ 0.22ms
  2026-08-15 14:03:05 /api/v1/notifications/stream ......................................................... ~ 0.23ms
  2026-08-15 14:03:06 /api/v1/notifications/stream ....................................................... ~ 503.45ms
  2026-08-15 14:03:08 /api/v1/notifications/stream ......................................................... ~ 0.20ms
  2026-08-15 14:03:09 /api/v1/notifications/stream ....................................................... ~ 512.73ms
  2026-08-15 14:03:10 /api/v1/notifications/stream ......................................................... ~ 0.12ms
  2026-08-15 14:03:11 /api/v1/notifications/stream ....................................................... ~ 515.15ms
  2026-08-15 14:03:13 /api/v1/notifications/stream ......................................................... ~ 0.15ms
  2026-08-15 14:03:14 /api/v1/notifications/stream ......................................................... ~ 0.15ms
  2026-08-15 14:03:15 /api/v1/notifications/stream ......................................................... ~ 0.24ms
  2026-08-15 14:03:16 /api/v1/notifications/stream ....................................................... ~ 514.32ms
  2026-08-15 14:03:17 /api/v1/notifications/stream ......................................................... ~ 0.13ms
  2026-08-15 14:03:19 /api/v1/notifications/stream ....................................................... ~ 513.86ms
  2026-08-15 14:03:20 /api/v1/notifications/stream ......................................................... ~ 0.17ms
  2026-08-15 14:03:21 /api/v1/notifications/stream ......................................................... ~ 0.13ms
  2026-08-15 14:03:22 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 14:03:24 /api/v1/notifications/stream ......................................................... ~ 0.10ms
  2026-08-15 14:03:25 /api/v1/notifications/stream ....................................................... ~ 514.25ms
  2026-08-15 14:03:27 /api/v1/notifications/stream ......................................................... ~ 0.14ms
  2026-08-15 14:03:28 /api/v1/notifications/stream ......................................................... ~ 0.07ms
  2026-08-15 14:03:29 /api/v1/notifications/stream ....................................................... ~ 513.62ms
  2026-08-15 14:03:30 /api/v1/notifications/stream ......................................................... ~ 0.17ms
  2026-08-15 14:03:31 /api/v1/notifications/stream ....................................................... ~ 501.70ms
  2026-08-15 14:03:33 /api/v1/notifications/stream ......................................................... ~ 1.98ms
  2026-08-15 14:03:34 /api/v1/notifications/stream ......................................................... ~ 0.41ms
  2026-08-15 14:03:35 /api/v1/notifications/stream ....................................................... ~ 506.92ms
  2026-08-15 14:03:36 /api/v1/notifications/stream ......................................................... ~ 0.12ms
  2026-08-15 14:03:38 /api/v1/notifications/stream ....................................................... ~ 515.20ms
  2026-08-15 14:03:39 /api/v1/notifications/stream ......................................................... ~ 0.15ms
  2026-08-15 14:03:40 /api/v1/notifications/stream ......................................................... ~ 0.11ms
  2026-08-15 14:03:41 /api/v1/notifications/stream ....................................................... ~ 499.99ms
  2026-08-15 14:03:42 /api/v1/notifications/stream ......................................................... ~ 0.14ms
  2026-08-15 14:03:44 /api/v1/notifications/stream ....................................................... ~ 502.77ms
  2026-08-15 14:03:45 /api/v1/notifications/stream ......................................................... ~ 0.12ms
  2026-08-15 14:03:46 /api/v1/notifications/stream ......................................................... ~ 0.07ms
  2026-08-15 14:03:47 /api/v1/notifications/stream ....................................................... ~ 500.28ms
  2026-08-15 14:03:48 /api/v1/notifications/stream ......................................................... ~ 0.27ms
  2026-08-15 14:03:50 /api/v1/notifications/stream ......................................................... ~ 0.08ms
  2026-08-15 14:03:51 /api/v1/notifications/stream ....................................................... ~ 500.63ms
  2026-08-15 14:03:52 /api/v1/notifications/stream ......................................................... ~ 0.31ms
  2026-08-15 14:03:53 /api/v1/notifications/stream ....................................................... ~ 516.21ms
  2026-08-15 14:03:54 /api/v1/notifications/stream ......................................................... ~ 0.24ms
  2026-08-15 14:03:56 /api/v1/notifications/stream ......................................................... ~ 0.25ms
  2026-08-15 14:03:57 /api/v1/notifications/stream ....................................................... ~ 511.37ms
  2026-08-15 14:03:58 /api/v1/notifications/stream ......................................................... ~ 0.37ms
  2026-08-15 14:03:59 /api/v1/notifications/stream ....................................................... ~ 501.87ms
  2026-08-15 14:04:01 /api/v1/notifications/stream ......................................................... ~ 0.08ms
  2026-08-15 14:04:02 /api/v1/notifications/stream ....................................................... ~ 500.56ms
  2026-08-15 14:04:03 /api/v1/notifications/stream ......................................................... ~ 0.18ms
  2026-08-15 14:04:04 /api/v1/notifications/stream ......................................................... ~ 0.07ms
  2026-08-15 14:04:06 /api/v1/notifications/stream ....................................................... ~ 503.59ms
  2026-08-15 14:04:07 /api/v1/notifications/stream ......................................................... ~ 0.07ms
  2026-08-15 14:04:08 /api/v1/notifications/stream ......................................................... ~ 0.10ms
  2026-08-15 14:04:09 /api/v1/notifications/stream ....................................................... ~ 515.15ms
  2026-08-15 14:04:10 /api/v1/notifications/stream ......................................................... ~ 0.26ms
  2026-08-15 14:04:12 /api/v1/notifications/stream ....................................................... ~ 508.35ms
  2026-08-15 14:04:13 /api/v1/notifications/stream ......................................................... ~ 0.23ms
  2026-08-15 14:04:14 /api/v1/notifications/stream ......................................................... ~ 0.33ms
  2026-08-15 14:04:15 /api/v1/notifications/stream ....................................................... ~ 510.66ms
  2026-08-15 14:04:16 /api/v1/notifications/stream ......................................................... ~ 0.30ms
  2026-08-15 14:04:18 /api/v1/notifications/stream ......................................................... ~ 0.08ms
  2026-08-15 14:04:19 /api/v1/notifications/stream ....................................................... ~ 507.81ms
  2026-08-15 14:04:20 /api/v1/notifications/stream ......................................................... ~ 0.22ms
  2026-08-15 14:04:21 /api/v1/notifications/stream ....................................................... ~ 516.09ms
  2026-08-15 14:04:22 /api/v1/notifications/stream ......................................................... ~ 0.15ms
  2026-08-15 14:04:24 /api/v1/notifications/stream ......................................................... ~ 0.19ms
  2026-08-15 14:04:25 /api/v1/notifications/stream ....................................................... ~ 515.20ms
  2026-08-15 14:04:26 /api/v1/notifications/stream ......................................................... ~ 0.07ms
  2026-08-15 14:04:27 /api/v1/notifications/stream ......................................................... ~ 0.09ms
  2026-08-15 14:04:28 /api/v1/notifications/stream ....................................................... ~ 508.07ms
  2026-08-15 14:04:30 /api/v1/notifications/stream ......................................................... ~ 0.20ms
  2026-08-15 14:04:31 /api/v1/notifications/stream ....................................................... ~ 507.27ms
  2026-08-15 14:04:32 /api/v1/notifications/stream ......................................................... ~ 0.07ms
  2026-08-15 14:04:33 /api/v1/notifications/stream ......................................................... ~ 0.30ms
  2026-08-15 14:04:34 /api/v1/notifications/stream ....................................................... ~ 500.52ms
  2026-08-15 14:04:36 /api/v1/notifications/stream ......................................................... ~ 0.22ms
  2026-08-15 14:04:37 /api/v1/notifications/stream ......................................................... ~ 0.21ms
  2026-08-15 14:04:38 /api/v1/notifications/stream ....................................................... ~ 518.52ms
  2026-08-15 14:04:39 /api/v1/notifications/stream ......................................................... ~ 0.14ms
  2026-08-15 14:04:40 /api/v1/notifications/stream ......................................................... ~ 0.09ms
  2026-08-15 14:04:42 /api/v1/notifications/stream ....................................................... ~ 512.40ms
  2026-08-15 14:04:43 /api/v1/notifications/stream ......................................................... ~ 0.17ms
  2026-08-15 14:04:44 /api/v1/notifications/stream ....................................................... ~ 504.61ms
  2026-08-15 14:04:45 /api/v1/notifications/stream ......................................................... ~ 0.20ms
  2026-08-15 14:04:46 /api/v1/notifications/stream ......................................................... ~ 0.23ms
  2026-08-15 14:04:48 /api/v1/notifications/stream ....................................................... ~ 507.85ms
  2026-08-15 14:04:49 /api/v1/notifications/stream ....................................................... ~ 506.08ms
  2026-08-15 14:04:51 /api/v1/notifications/stream ....................................................... ~ 511.97ms
  2026-08-15 14:04:52 /api/v1/notifications/stream ......................................................... ~ 0.14ms
  2026-08-15 14:04:53 /api/v1/notifications/stream ....................................................... ~ 514.90ms
  2026-08-15 14:04:55 /api/v1/notifications/stream ......................................................... ~ 0.09ms
  2026-08-15 14:04:56 /api/v1/notifications/stream ....................................................... ~ 513.03ms
  2026-08-15 14:04:57 /api/v1/notifications/stream ......................................................... ~ 0.09ms
  2026-08-15 14:04:58 /api/v1/notifications/stream ......................................................... ~ 0.09ms
  2026-08-15 14:04:59 /api/v1/notifications/stream ....................................................... ~ 504.02ms
  2026-08-15 14:05:01 /api/v1/notifications/stream ......................................................... ~ 0.08ms
  2026-08-15 14:05:02 /api/v1/notifications/stream ....................................................... ~ 512.53ms
  2026-08-15 14:05:03 /api/v1/notifications/stream ......................................................... ~ 0.07ms
  2026-08-15 14:05:04 /api/v1/notifications/stream ......................................................... ~ 0.45ms
  2026-08-15 14:05:06 /api/v1/notifications/stream ....................................................... ~ 516.11ms
  2026-08-15 14:05:07 /api/v1/notifications/stream ....................................................... ~ 513.27ms
  2026-08-15 14:05:08 /api/v1/notifications/stream ......................................................... ~ 0.13ms
  2026-08-15 14:05:09 /api/v1/notifications/stream ......................................................... ~ 0.07ms
  2026-08-15 14:05:11 /api/v1/notifications/stream ....................................................... ~ 500.81ms
  2026-08-15 14:05:12 /api/v1/notifications/stream ......................................................... ~ 0.09ms
  2026-08-15 14:05:13 /api/v1/notifications/stream ......................................................... ~ 0.13ms
  2026-08-15 14:05:14 /api/v1/notifications/stream ....................................................... ~ 509.51ms
  2026-08-15 14:05:15 /api/v1/notifications/stream ......................................................... ~ 0.10ms
  2026-08-15 14:05:17 /api/v1/notifications/stream ....................................................... ~ 504.37ms
  2026-08-15 14:05:18 /api/v1/notifications/stream ......................................................... ~ 0.09ms
  2026-08-15 14:05:19 /api/v1/notifications/stream ......................................................... ~ 0.08ms
  2026-08-15 14:05:20 /api/v1/notifications/stream ....................................................... ~ 500.14ms
  2026-08-15 14:05:22 /api/v1/notifications/stream ......................................................... ~ 0.10ms
  2026-08-15 14:05:23 /api/v1/notifications/stream ....................................................... ~ 513.53ms
  2026-08-15 14:05:24 /api/v1/notifications/stream ......................................................... ~ 0.15ms
  2026-08-15 14:05:25 /api/v1/notifications/stream ....................................................... ~ 506.39ms
  2026-08-15 14:05:27 /api/v1/notifications/stream ......................................................... ~ 0.14ms
  2026-08-15 14:05:28 /api/v1/notifications/stream ......................................................... ~ 0.09ms
  2026-08-15 14:05:29 /api/v1/notifications/stream ....................................................... ~ 505.42ms
  2026-08-15 14:05:30 /api/v1/notifications/stream ......................................................... ~ 0.19ms
  2026-08-15 14:05:31 /api/v1/notifications/stream ......................................................... ~ 0.14ms
  2026-08-15 14:05:33 /api/v1/notifications/stream ....................................................... ~ 502.86ms
  2026-08-15 14:05:34 /api/v1/notifications/stream ......................................................... ~ 0.24ms
  2026-08-15 14:05:35 /api/v1/notifications/stream ......................................................... ~ 0.07ms
  2026-08-15 14:05:36 /api/v1/notifications/stream ....................................................... ~ 514.83ms
  2026-08-15 14:05:37 /api/v1/notifications/stream ......................................................... ~ 0.12ms
  2026-08-15 14:05:39 /api/v1/notifications/stream ....................................................... ~ 509.50ms
  2026-08-15 14:05:40 /api/v1/notifications/stream ....................................................... ~ 502.01ms
  2026-08-15 14:05:41 /api/v1/notifications/stream ......................................................... ~ 0.19ms
  2026-08-15 14:05:43 /api/v1/notifications/stream ....................................................... ~ 501.03ms
  2026-08-15 14:05:44 /api/v1/notifications/stream ......................................................... ~ 0.22ms
  2026-08-15 14:05:45 /api/v1/notifications/stream ......................................................... ~ 0.09ms
  2026-08-15 14:05:46 /api/v1/notifications/stream ....................................................... ~ 500.42ms
  2026-08-15 14:05:47 /api/v1/notifications/stream ......................................................... ~ 0.07ms
  2026-08-15 14:05:49 /api/v1/notifications/stream ......................................................... ~ 0.07ms
  2026-08-15 14:05:50 /api/v1/notifications/stream ....................................................... ~ 506.75ms
  2026-08-15 14:05:51 /api/v1/notifications/stream ......................................................... ~ 0.19ms
  2026-08-15 14:05:52 /api/v1/notifications/stream ....................................................... ~ 502.34ms
  2026-08-15 14:05:54 /api/v1/notifications/stream ......................................................... ~ 0.19ms
  2026-08-15 14:05:55 /api/v1/notifications/stream ......................................................... ~ 0.20ms
  2026-08-15 14:05:56 /api/v1/notifications/stream ....................................................... ~ 501.10ms
  2026-08-15 14:05:57 /api/v1/notifications/stream ......................................................... ~ 0.10ms
  2026-08-15 14:05:58 /api/v1/notifications/stream ......................................................... ~ 0.07ms
  2026-08-15 14:05:59 /api/v1/notifications/stream ....................................................... ~ 504.56ms
  2026-08-15 14:06:01 /api/v1/notifications/stream ......................................................... ~ 0.44ms
  2026-08-15 14:06:02 /api/v1/notifications/stream ......................................................... ~ 0.18ms
  2026-08-15 14:06:03 /api/v1/notifications/stream ....................................................... ~ 501.56ms
  2026-08-15 14:06:04 /api/v1/notifications/stream ......................................................... ~ 0.07ms
  2026-08-15 14:06:06 /api/v1/notifications/stream ....................................................... ~ 501.08ms
  2026-08-15 14:06:07 /api/v1/notifications/stream ......................................................... ~ 0.14ms
  2026-08-15 14:06:08 /api/v1/notifications/stream ....................................................... ~ 501.34ms
  2026-08-15 14:06:09 /api/v1/notifications/stream ......................................................... ~ 0.08ms
  2026-08-15 14:06:10 /api/v1/notifications/stream ......................................................... ~ 0.07ms
  2026-08-15 14:06:12 /api/v1/notifications/stream ....................................................... ~ 509.15ms
  2026-08-15 14:06:13 /api/v1/notifications/stream ......................................................... ~ 0.08ms
  2026-08-15 14:06:14 /api/v1/notifications/stream ......................................................... ~ 0.07ms
  2026-08-15 14:06:15 /api/v1/notifications/stream ....................................................... ~ 506.41ms
  2026-08-15 14:06:16 /api/v1/notifications/stream ......................................................... ~ 0.48ms
  2026-08-15 14:06:18 /api/v1/notifications/stream ....................................................... ~ 507.03ms
  2026-08-15 14:06:19 /api/v1/notifications/stream ....................................................... ~ 500.13ms
  2026-08-15 14:06:20 /api/v1/notifications/stream ......................................................... ~ 0.09ms
  2026-08-15 14:06:22 /api/v1/notifications/stream ......................................................... ~ 0.09ms
  2026-08-15 14:06:23 /api/v1/notifications/stream ....................................................... ~ 514.87ms
  2026-08-15 14:06:24 /api/v1/notifications/stream ......................................................... ~ 0.09ms
  2026-08-15 14:06:25 /api/v1/notifications/stream ....................................................... ~ 503.59ms
  2026-08-15 14:06:27 /api/v1/notifications/stream ....................................................... ~ 508.48ms
  2026-08-15 14:06:28 /api/v1/notifications/stream ......................................................... ~ 0.16ms
  2026-08-15 14:06:29 /api/v1/notifications/stream ......................................................... ~ 0.07ms
  2026-08-15 14:06:30 /api/v1/notifications/stream ....................................................... ~ 507.98ms
  2026-08-15 14:06:32 /api/v1/notifications/stream ......................................................... ~ 0.07ms
  2026-08-15 14:06:33 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 14:06:35 /api/v1/notifications/stream ....................................................... ~ 507.74ms
  2026-08-15 14:06:36 /api/v1/notifications/stream ......................................................... ~ 0.15ms
  2026-08-15 14:06:37 /api/v1/procurement/analytics ...................................................... ~ 509.44ms
  2026-08-15 14:06:37 /api/v1/notifications/unread-count ................................................. ~ 510.41ms
  2026-08-15 14:06:37 /api/v1/notifications/unread-count ....................................................... ~ 1s
  2026-08-15 14:06:37 /api/v1/notifications/unread-count ................................................. ~ 508.98ms
  2026-08-15 14:06:37 /api/v1/notifications/unread-count ................................................... ~ 0.78ms
  2026-08-15 14:06:37 /api/v1/notifications/unread-count ................................................. ~ 518.12ms
  2026-08-15 14:06:38 /api/v1/notifications/unread-count ................................................. ~ 517.86ms
  2026-08-15 14:06:38 /api/v1/notifications/unread-count ................................................... ~ 0.60ms
  2026-08-15 14:06:38 /api/v1/notifications/unread-count ................................................... ~ 0.44ms
  2026-08-15 14:06:38 /api/v1/notifications/unread-count ................................................... ~ 0.43ms
  2026-08-15 14:06:38 /api/v1/notifications/unread-count ................................................. ~ 503.37ms
  2026-08-15 14:06:38 /api/v1/notifications/unread-count ................................................. ~ 503.69ms
  2026-08-15 14:06:38 /api/v1/notifications/unread-count ................................................... ~ 1.19ms
  2026-08-15 14:06:38 /api/v1/notifications/unread-count ................................................... ~ 1.02ms
  2026-08-15 14:06:39 /api/v1/notifications/unread-count ................................................. ~ 507.31ms
  2026-08-15 14:06:39 /api/v1/notifications/unread-count ................................................. ~ 507.29ms
  2026-08-15 14:06:39 /api/v1/admin/users .................................................................. ~ 0.77ms
  2026-08-15 14:06:39 /api/v1/admin/categories ............................................................. ~ 0.99ms
  2026-08-15 14:06:39 /api/v1/admin/users ................................................................ ~ 513.90ms
  2026-08-15 14:06:39 /api/v1/admin/roles ................................................................ ~ 513.63ms
  2026-08-15 14:06:39 /api/v1/admin/departments ............................................................ ~ 0.53ms
  2026-08-15 14:06:39 /api/v1/purchase-requests/10/submit .................................................. ~ 0.51ms
  127.0.0.1:58768 Invalid request (An existing connection was forcibly closed by the remote host)
  2026-08-15 14:06:40 ...................................................................................... ~ 0.47ms
  2026-08-15 14:06:40 /api/v1/notifications/unread-count ................................................. ~ 513.81ms
  2026-08-15 14:06:40 /api/v1/notifications/unread-count ................................................. ~ 513.59ms
  2026-08-15 14:06:40 /api/v1/notifications/unread-count ................................................... ~ 0.42ms
  2026-08-15 14:06:40 /api/v1/notifications/stream ......................................................... ~ 0.42ms
  2026-08-15 14:06:41 /api/v1/notifications/stream ....................................................... ~ 514.28ms
  2026-08-15 14:06:42 /api/v1/notifications/stream ......................................................... ~ 0.11ms
  2026-08-15 14:06:44 /api/v1/notifications/stream ......................................................... ~ 0.06ms
  2026-08-15 14:06:45 /api/v1/notifications/stream ....................................................... ~ 502.10ms
  2026-08-15 14:06:46 /api/v1/notifications/stream ....................................................... ~ 502.55ms
  2026-08-15 14:06:48 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 14:06:50 /api/v1/notifications/stream ....................................................... ~ 509.91ms
  2026-08-15 14:06:52 /api/v1/notifications/stream ....................................................... ~ 515.45ms
  2026-08-15 14:06:53 /api/v1/notifications/stream ....................................................... ~ 501.43ms
  2026-08-15 14:06:55 /api/v1/notifications/stream ....................................................... ~ 505.11ms
  2026-08-15 14:06:56 /api/v1/notifications/stream ......................................................... ~ 0.10ms
  2026-08-15 14:06:57 /api/v1/notifications/stream ....................................................... ~ 510.14ms
  2026-08-15 14:06:59 /api/v1/notifications/stream ....................................................... ~ 500.43ms
  2026-08-15 14:07:00 /api/v1/notifications/stream ......................................................... ~ 0.07ms
  2026-08-15 14:07:02 /api/v1/notifications/stream ....................................................... ~ 509.53ms
  2026-08-15 14:07:03 /api/v1/notifications/stream ....................................................... ~ 508.04ms
  2026-08-15 14:07:05 /api/v1/notifications/stream ....................................................... ~ 504.46ms
  2026-08-15 14:07:06 /api/v1/notifications/stream ....................................................... ~ 513.72ms
  2026-08-15 14:07:08 /api/v1/notifications/stream ....................................................... ~ 507.73ms
  2026-08-15 14:07:09 /api/v1/notifications/stream ....................................................... ~ 517.05ms
  2026-08-15 14:07:10 /api/v1/notifications/stream ....................................................... ~ 513.23ms
  2026-08-15 14:07:12 /api/v1/notifications/stream ......................................................... ~ 0.19ms
  2026-08-15 14:07:13 /api/v1/notifications/stream ....................................................... ~ 503.24ms
  2026-08-15 14:07:14 /api/v1/notifications/stream ....................................................... ~ 504.58ms
  2026-08-15 14:07:16 /api/v1/notifications/stream ......................................................... ~ 0.12ms
  2026-08-15 14:07:17 /api/v1/notifications/stream ....................................................... ~ 501.13ms
  2026-08-15 14:07:19 /api/v1/notifications/stream ....................................................... ~ 505.34ms
  2026-08-15 14:07:20 /api/v1/notifications/stream ......................................................... ~ 0.09ms
  2026-08-15 14:07:21 /api/v1/health ..................................................................... ~ 519.68ms
  2026-08-15 14:07:21 /api/v1/notifications/stream ....................................................... ~ 515.36ms
  2026-08-15 14:07:23 /api/v1/notifications/stream ....................................................... ~ 506.06ms
  2026-08-15 14:07:24 /api/v1/notifications/stream ......................................................... ~ 0.24ms
  2026-08-15 14:07:25 /api/v1/notifications/stream ....................................................... ~ 512.92ms
  2026-08-15 14:07:27 /api/v1/notifications/stream ....................................................... ~ 508.02ms
  2026-08-15 14:07:28 /api/v1/notifications/stream ....................................................... ~ 508.50ms
  2026-08-15 14:07:30 /api/v1/notifications/stream ....................................................... ~ 509.16ms
  2026-08-15 14:07:31 /api/v1/notifications/stream ....................................................... ~ 514.70ms
  2026-08-15 14:07:33 /api/v1/notifications/stream ....................................................... ~ 501.50ms
  2026-08-15 14:07:34 /api/v1/notifications/stream ......................................................... ~ 0.07ms
  2026-08-15 14:07:36 /api/v1/notifications/stream ....................................................... ~ 504.36ms
  2026-08-15 14:07:37 /api/v1/notifications/stream ....................................................... ~ 502.85ms
  2026-08-15 14:07:38 /api/v1/notifications/stream ....................................................... ~ 511.51ms
  2026-08-15 14:07:40 /api/v1/notifications/stream ......................................................... ~ 0.30ms
  2026-08-15 14:07:41 /api/v1/notifications/stream ....................................................... ~ 501.40ms
  2026-08-15 14:07:42 /api/v1/notifications/stream ....................................................... ~ 503.23ms
  2026-08-15 14:07:44 /api/v1/notifications/stream ......................................................... ~ 0.11ms
  2026-08-15 14:07:45 /api/v1/notifications/stream ....................................................... ~ 513.88ms
  2026-08-15 14:07:47 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 14:07:48 /api/v1/notifications/stream ....................................................... ~ 514.00ms
  2026-08-15 14:07:50 /api/v1/notifications/stream ....................................................... ~ 514.49ms
  2026-08-15 14:07:51 /api/v1/notifications/stream ......................................................... ~ 0.07ms
  2026-08-15 14:07:53 /api/v1/notifications/stream ....................................................... ~ 507.47ms
  2026-08-15 14:07:54 /api/v1/notifications/stream ....................................................... ~ 501.33ms
  2026-08-15 14:07:56 /api/v1/notifications/stream ....................................................... ~ 505.32ms
  2026-08-15 14:07:57 /api/v1/notifications/stream ....................................................... ~ 501.08ms
  2026-08-15 14:07:58 /api/v1/notifications/stream ....................................................... ~ 504.51ms
  2026-08-15 14:08:00 /api/v1/notifications/stream ....................................................... ~ 501.00ms
  2026-08-15 14:08:01 /api/v1/notifications/stream ....................................................... ~ 515.81ms
  2026-08-15 14:08:02 /api/v1/notifications/stream ....................................................... ~ 507.48ms
  2026-08-15 14:08:04 /api/v1/notifications/stream ......................................................... ~ 0.07ms
  2026-08-15 14:08:05 /api/v1/notifications/stream ....................................................... ~ 515.61ms
  2026-08-15 14:08:06 /api/v1/notifications/stream ....................................................... ~ 503.39ms
  2026-08-15 14:08:08 /api/v1/notifications/stream ......................................................... ~ 0.13ms
  2026-08-15 14:08:09 /api/v1/notifications/stream ....................................................... ~ 506.06ms
  2026-08-15 14:08:10 /api/v1/notifications/stream ....................................................... ~ 514.86ms
  2026-08-15 14:08:12 /api/v1/notifications/stream ......................................................... ~ 0.22ms
  2026-08-15 14:08:13 /api/v1/notifications/stream ....................................................... ~ 500.91ms
  2026-08-15 14:08:15 /api/v1/notifications/stream ....................................................... ~ 507.63ms
  2026-08-15 14:08:16 /api/v1/notifications/stream ......................................................... ~ 0.32ms
  2026-08-15 14:08:17 /api/v1/notifications/stream ....................................................... ~ 504.13ms
  2026-08-15 14:08:19 /api/v1/notifications/stream ....................................................... ~ 501.15ms
  2026-08-15 14:08:20 /api/v1/notifications/stream ......................................................... ~ 0.25ms
  2026-08-15 14:08:21 /api/v1/notifications/stream ....................................................... ~ 508.53ms
  2026-08-15 14:08:23 /api/v1/notifications/stream ....................................................... ~ 512.30ms
  2026-08-15 14:08:24 /api/v1/notifications/stream ......................................................... ~ 0.21ms
  2026-08-15 14:08:25 /api/v1/notifications/stream ....................................................... ~ 502.52ms
  2026-08-15 14:08:27 /api/v1/notifications/stream ....................................................... ~ 503.73ms
  2026-08-15 14:08:28 /api/v1/notifications/stream ......................................................... ~ 0.31ms
  2026-08-15 14:08:29 /api/v1/notifications/stream ....................................................... ~ 504.94ms
  2026-08-15 14:08:31 /api/v1/notifications/stream ....................................................... ~ 522.11ms
  2026-08-15 14:08:32 /api/v1/notifications/stream ......................................................... ~ 0.35ms
  2026-08-15 14:08:33 /api/v1/notifications/stream ....................................................... ~ 507.11ms
  2026-08-15 14:08:35 /api/v1/notifications/stream ....................................................... ~ 512.28ms
  2026-08-15 14:08:36 /api/v1/notifications/stream ......................................................... ~ 0.24ms
  2026-08-15 14:08:37 /api/v1/notifications/stream ....................................................... ~ 506.93ms
  2026-08-15 14:08:39 /api/v1/notifications/stream ......................................................... ~ 0.08ms
  2026-08-15 14:08:40 /api/v1/notifications/stream ....................................................... ~ 501.42ms
  2026-08-15 14:08:41 /api/v1/notifications/stream ....................................................... ~ 515.72ms
  2026-08-15 14:08:43 /api/v1/notifications/stream ......................................................... ~ 0.11ms
  2026-08-15 14:08:44 /api/v1/notifications/stream ....................................................... ~ 512.92ms
  2026-08-15 14:08:46 /api/v1/notifications/stream ....................................................... ~ 513.23ms
  2026-08-15 14:08:47 /api/v1/notifications/stream ......................................................... ~ 0.25ms
  2026-08-15 14:08:48 /api/v1/notifications/stream ....................................................... ~ 508.61ms
  2026-08-15 14:08:50 /api/v1/notifications/stream ....................................................... ~ 500.87ms
  2026-08-15 14:08:51 /api/v1/notifications/stream ....................................................... ~ 502.91ms
  2026-08-15 14:08:53 /api/v1/notifications/stream ....................................................... ~ 506.73ms
  2026-08-15 14:08:54 /api/v1/notifications/stream ......................................................... ~ 0.13ms
  2026-08-15 14:08:55 /api/v1/notifications/stream ....................................................... ~ 507.02ms
  2026-08-15 14:08:57 /api/v1/notifications/stream ....................................................... ~ 506.63ms
  2026-08-15 14:08:58 /api/v1/notifications/stream ......................................................... ~ 0.18ms
  2026-08-15 14:08:59 /api/v1/notifications/stream ....................................................... ~ 515.26ms
  2026-08-15 14:09:01 /api/v1/notifications/stream ....................................................... ~ 506.78ms
  2026-08-15 14:09:02 /api/v1/notifications/stream ......................................................... ~ 0.25ms
  2026-08-15 14:09:03 /api/v1/notifications/stream ....................................................... ~ 500.99ms
  2026-08-15 14:09:05 /api/v1/notifications/stream ....................................................... ~ 505.59ms
  2026-08-15 14:09:06 /api/v1/notifications/stream ......................................................... ~ 0.24ms
  2026-08-15 14:09:07 /api/v1/notifications/stream ....................................................... ~ 500.76ms
  2026-08-15 14:09:09 /api/v1/notifications/stream ....................................................... ~ 500.85ms
  2026-08-15 14:09:10 /api/v1/notifications/stream ......................................................... ~ 0.40ms
  2026-08-15 14:09:11 /api/v1/notifications/stream ....................................................... ~ 505.25ms
  2026-08-15 14:09:13 /api/v1/notifications/stream ....................................................... ~ 512.27ms
  2026-08-15 14:09:14 /api/v1/notifications/stream ....................................................... ~ 513.28ms
  2026-08-15 14:09:16 /api/v1/notifications/stream ....................................................... ~ 501.01ms
